이름,날짜
01.07 기도 제목,2024년 1월 7일
01.14 기도제목,2024년 1월 14일
01.21 기도제목,2024년 1월 21일
01.28 기도제목,2024년 1월 28일
02.04 기도제목,2024년 2월 4일
02.18 기도제목,2024년 2월 18일
02.25 기도제목,
03.03 기도제목,2024년 3월 3일
03.10 기도제목,2024년 3월 10일
03.17 기도제목,
03.24 기도제목,2024년 3월 24일
04.07 기도제목,2024년 4월 7일
04.14 기도제목,2024년 4월 14일
04.21 기도제목,2024년 4월 21일
04.28 기도제목,
05.12 기도제목,2024년 5월 12일
06.02 기도제목,2024년 6월 2일
06.16 기도제목,2024년 6월 16일
06.23 기도제목,2024년 6월 23일
06.30 기도제목,2024년 6월 30일
07.07 기도제목,2024년 7월 7일
07.14 기도제목,2024년 7월 14일
07.28 기도제목,2024년 7월 28일
